Paper Number,NBER URL,Journal URL,Similarity Ratio or Error,Number of Authors,Number of Female Authors,Number of Male Authors,Number of Unknown Gender Authors
20668,https://econpapers.repec.org/paper/nbrnberwo/20668.htm,https://econpapers.repec.org/article/ucpjpolec/doi_3a10.1086_2f720467.htm,0.9951612903225806,3,0,3,0
20669,https://econpapers.repec.org/paper/nbrnberwo/20669.htm,,Related journal article link not found,3,2,1,0
20670,https://econpapers.repec.org/paper/nbrnberwo/20670.htm,,Related journal article link not found,1,0,1,0
20671,https://econpapers.repec.org/paper/nbrnberwo/20671.htm,https://econpapers.repec.org/article/binbpeajo/v_3a45_3ay_3a2014_3ai_3a2014-02_3ap_3a137-196.htm,Journal abstract not found,1,0,1,0
20672,https://econpapers.repec.org/paper/nbrnberwo/20672.htm,https://econpapers.repec.org/article/ucptpolec/doi_3a10.1086_2f683363.htm,0.025036390101892285,1,0,1,0
20673,https://econpapers.repec.org/paper/nbrnberwo/20673.htm,https://econpapers.repec.org/article/oupqjecon/v_3a132_3ay_3a2017_3ai_3a4_3ap_3a1553-1592..htm,1.0,3,0,3,0
20674,https://econpapers.repec.org/paper/nbrnberwo/20674.htm,,Related journal article link not found,3,0,3,0
20675,https://econpapers.repec.org/paper/nbrnberwo/20675.htm,https://econpapers.repec.org/article/palimfecr/v_3a62_3ay_3a2014_3ai_3a4_3ap_3a526-568.htm,0.9720044792833147,2,1,1,0
20676,https://econpapers.repec.org/paper/nbrnberwo/20676.htm,https://econpapers.repec.org/article/anrrefeco/v_3a7_3ay_3a2015_3ap_3a445-462.htm,0.9985693848354793,2,0,2,0
20677,https://econpapers.repec.org/paper/nbrnberwo/20677.htm,https://econpapers.repec.org/article/oupjleorg/v_3a39_3ay_3a2023_3ai_3a3_3ap_3a828-846..htm,0.9695787831513261,2,1,1,0
20678,https://econpapers.repec.org/paper/nbrnberwo/20678.htm,,Related journal article link not found,2,0,2,0
20679,https://econpapers.repec.org/paper/nbrnberwo/20679.htm,,Related journal article link not found,3,1,2,0
20680,https://econpapers.repec.org/paper/nbrnberwo/20680.htm,,Related journal article link not found,2,1,1,0
20681,https://econpapers.repec.org/paper/nbrnberwo/20681.htm,https://econpapers.repec.org/article/eeepubeco/v_3a143_3ay_3a2016_3ai_3ac_3ap_3a73-88.htm,0.09900047596382675,2,1,1,0
20682,https://econpapers.repec.org/paper/nbrnberwo/20682.htm,https://econpapers.repec.org/article/ouprevfin/v_3a23_3ay_3a2019_3ai_3a1_3ap_3a1-35..htm,0.534453781512605,4,0,4,0
20683,https://econpapers.repec.org/paper/nbrnberwo/20683.htm,https://econpapers.repec.org/article/eeerespol/v_3a44_3ay_3a2015_3ai_3a9_3ap_3a1659-1671.htm,0.997557003257329,4,0,4,0
20684,https://econpapers.repec.org/paper/nbrnberwo/20684.htm,https://econpapers.repec.org/article/redissued/14-318.htm,0.9895437262357415,2,0,2,0
20685,https://econpapers.repec.org/paper/nbrnberwo/20685.htm,,Related journal article link not found,1,0,1,0
20686,https://econpapers.repec.org/paper/nbrnberwo/20686.htm,,Related journal article link not found,4,0,4,0
20687,https://econpapers.repec.org/paper/nbrnberwo/20687.htm,https://econpapers.repec.org/article/aeaaejmac/v_3a11_3ay_3a2019_3ai_3a3_3ap_3a147-73.htm,0.046811945117029866,3,0,3,0
20688,https://econpapers.repec.org/paper/nbrnberwo/20688.htm,https://econpapers.repec.org/article/wlyquante/v_3a10_3ay_3a2019_3ai_3a4_3ap_3a1317-1356.htm,0.2633311389071758,3,0,3,0
20689,https://econpapers.repec.org/paper/nbrnberwo/20689.htm,,Related journal article link not found,3,1,2,0
20690,https://econpapers.repec.org/paper/nbrnberwo/20690.htm,,Related journal article link not found,3,0,3,0
20691,https://econpapers.repec.org/paper/nbrnberwo/20691.htm,https://econpapers.repec.org/article/oupqjecon/v_3a129_3ay_3a2014_3ai_3a4_3ap_3a1753-1797.htm,0.935395814376706,3,0,3,0
20692,https://econpapers.repec.org/paper/nbrnberwo/20692.htm,,Related journal article link not found,2,1,1,0
20693,https://econpapers.repec.org/paper/nbrnberwo/20693.htm,,Related journal article link not found,2,0,2,0
20694,https://econpapers.repec.org/paper/nbrnberwo/20694.htm,https://econpapers.repec.org/article/ucpjlabec/doi_3a10.1086_2f682424.htm,0.3102885138813283,2,0,2,0
20695,https://econpapers.repec.org/paper/nbrnberwo/20695.htm,,Related journal article link not found,4,3,1,0
20696,https://econpapers.repec.org/paper/nbrnberwo/20696.htm,,Related journal article link not found,3,1,2,0
20697,https://econpapers.repec.org/paper/nbrnberwo/20697.htm,,Related journal article link not found,3,2,1,0
20698,https://econpapers.repec.org/paper/nbrnberwo/20698.htm,,Related journal article link not found,2,1,1,0
20699,https://econpapers.repec.org/paper/nbrnberwo/20699.htm,https://econpapers.repec.org/article/wlyemetrp/v_3a84_3ay_3a2016_3ai_3a_3ap_3a1917-1960.htm,0.7925925925925926,2,0,2,0
20700,https://econpapers.repec.org/paper/nbrnberwo/20700.htm,https://econpapers.repec.org/article/blajfinan/v_3a72_3ay_3a2017_3ai_3a4_3ap_3a1483-1528.htm,Journal abstract not found,3,0,3,0
20701,https://econpapers.repec.org/paper/nbrnberwo/20701.htm,,Related journal article link not found,3,0,3,0
20702,https://econpapers.repec.org/paper/nbrnberwo/20702.htm,https://econpapers.repec.org/article/eeedeveco/v_3a126_3ay_3a2017_3ai_3ac_3ap_3a52-65.htm,0.03080872913992298,2,0,2,0
20703,https://econpapers.repec.org/paper/nbrnberwo/20703.htm,,Related journal article link not found,2,0,2,0
20704,https://econpapers.repec.org/paper/nbrnberwo/20704.htm,https://econpapers.repec.org/article/aeaaejpol/v_3a12_3ay_3a2020_3ai_3a1_3ap_3a200-225.htm,0.02200825309491059,3,1,2,0
20705,https://econpapers.repec.org/paper/nbrnberwo/20705.htm,,Related journal article link not found,2,0,2,0
20706,https://econpapers.repec.org/paper/nbrnberwo/20706.htm,https://econpapers.repec.org/article/eeejeborg/v_3a110_3ay_3a2015_3ai_3ac_3ap_3a1-18.htm,0.992274678111588,3,0,3,0
