Paper Number,NBER URL,Journal URL,Similarity Ratio or Error,Number of Authors,Number of Female Authors,Number of Male Authors,Number of Unknown Gender Authors
20706,https://econpapers.repec.org/paper/nbrnberwo/20706.htm,https://econpapers.repec.org/article/eeejeborg/v_3a110_3ay_3a2015_3ai_3ac_3ap_3a1-18.htm,0.992274678111588,3,0,3,0
20707,https://econpapers.repec.org/paper/nbrnberwo/20707.htm,,Related journal article link not found,2,0,2,0
20708,https://econpapers.repec.org/paper/nbrnberwo/20708.htm,,Related journal article link not found,3,0,3,0
20709,https://econpapers.repec.org/paper/nbrnberwo/20709.htm,https://econpapers.repec.org/article/eeedeveco/v_3a127_3ay_3a2017_3ai_3ac_3ap_3a306-337.htm,0.09760506100316313,5,0,5,0
20710,https://econpapers.repec.org/paper/nbrnberwo/20710.htm,https://econpapers.repec.org/article/ucpjpolec/doi_3a10.1086_2f701422.htm,0.18218623481781376,2,0,2,0
20711,https://econpapers.repec.org/paper/nbrnberwo/20711.htm,,Related journal article link not found,2,0,2,0
20712,https://econpapers.repec.org/paper/nbrnberwo/20712.htm,https://econpapers.repec.org/article/blajfinan/v_3a72_3ay_3a2017_3ai_3a4_3ap_3a1441-1482.htm,Journal abstract not found,4,0,4,0
20713,https://econpapers.repec.org/paper/nbrnberwo/20713.htm,https://econpapers.repec.org/article/aeaaejapp/v_3a10_3ay_3a2018_3ai_3a2_3ap_3a202-33.htm,0.4728323699421965,3,1,2,0
20714,https://econpapers.repec.org/paper/nbrnberwo/20714.htm,https://econpapers.repec.org/article/oupqjecon/v_3a130_3ay_3a2015_3ai_3a3_3ap_3a1329-1367..htm,0.22361477572559366,2,1,1,0
20715,https://econpapers.repec.org/paper/nbrnberwo/20715.htm,https://econpapers.repec.org/article/wlyjmoncb/v_3a51_3ay_3a2019_3ai_3a1_3ap_3a111-137.htm,0.0959409594095941,2,0,2,0
20716,https://econpapers.repec.org/paper/nbrnberwo/20716.htm,https://econpapers.repec.org/article/nowjnlsbe/102.00000055.htm,0.9866220735785953,1,1,0,0
20717,https://econpapers.repec.org/paper/nbrnberwo/20717.htm,,Related journal article link not found,4,0,4,0
20718,https://econpapers.repec.org/paper/nbrnberwo/20718.htm,,Related journal article link not found,2,0,2,0
20719,https://econpapers.repec.org/paper/nbrnberwo/20719.htm,https://econpapers.repec.org/article/ucpjpolec/doi_3a10.1086_2f696277.htm,0.18171362852213915,2,1,1,0
20720,https://econpapers.repec.org/paper/nbrnberwo/20720.htm,https://econpapers.repec.org/article/ucpjaerec/doi_3a10.1086_2f686252.htm,0.6634304207119741,2,0,2,0
20721,https://econpapers.repec.org/paper/nbrnberwo/20721.htm,,Related journal article link not found,2,0,2,0
20722,https://econpapers.repec.org/paper/nbrnberwo/20722.htm,,Related journal article link not found,4,0,4,0
20723,https://econpapers.repec.org/paper/nbrnberwo/20723.htm,https://econpapers.repec.org/article/eeeehbiol/v_3a21_3ay_3a2016_3ai_3ac_3ap_3a196-209.htm,0.7056145675265554,3,0,3,0
20724,https://econpapers.repec.org/paper/nbrnberwo/20724.htm,https://econpapers.repec.org/article/eeepubeco/v_3a170_3ay_3a2019_3ai_3ac_3ap_3a53-67.htm,0.14346289752650176,2,0,2,0
20725,https://econpapers.repec.org/paper/nbrnberwo/20725.htm,https://econpapers.repec.org/article/eeemoneco/v_3a101_3ay_3a2019_3ai_3ac_3ap_3a47-63.htm,1.0,3,0,3,0
20726,https://econpapers.repec.org/paper/nbrnberwo/20726.htm,https://econpapers.repec.org/article/eeeinecon/v_3a108_3ay_3a2017_3ai_3ac_3ap_3a191-210.htm,1.0,3,0,3,0
20727,https://econpapers.repec.org/paper/nbrnberwo/20727.htm,https://econpapers.repec.org/article/uwpjhriss/v_3a54_3ay_3a2019_3ai_3a4_3ap_3a857-899.htm,0.8730904817861339,3,0,3,0
20728,https://econpapers.repec.org/paper/nbrnberwo/20728.htm,,Related journal article link not found,2,0,2,0
20729,https://econpapers.repec.org/paper/nbrnberwo/20729.htm,,Related journal article link not found,3,0,3,0
20730,https://econpapers.repec.org/paper/nbrnberwo/20730.htm,https://econpapers.repec.org/article/wlyjmoncb/v_3a47_3ay_3a2015_3ai_3a8_3ap_3a1571-1598.htm,0.9940627650551315,2,0,2,0
20731,https://econpapers.repec.org/paper/nbrnberwo/20731.htm,,Related journal article link not found,1,1,0,0
20732,https://econpapers.repec.org/paper/nbrnberwo/20732.htm,,Related journal article link not found,1,1,0,0
20733,https://econpapers.repec.org/paper/nbrnberwo/20733.htm,,Related journal article link not found,1,0,1,0
20734,https://econpapers.repec.org/paper/nbrnberwo/20734.htm,https://econpapers.repec.org/article/aeajecper/v_3a29_3ay_3a2015_3ai_3a1_3ap_3a47-66.htm,0.9499509322865555,1,1,0,0
20735,https://econpapers.repec.org/paper/nbrnberwo/20735.htm,https://econpapers.repec.org/article/wlyeconjl/v_3a128_3ay_3a2018_3ai_3a612_3ap_3af37-f64.htm,0.23642533936651583,1,0,1,0
20736,https://econpapers.repec.org/paper/nbrnberwo/20736.htm,https://econpapers.repec.org/article/ouprestud/v_3a86_3ay_3a2019_3ai_3a6_3ap_3a2491-2529..htm,0.9986111111111111,4,1,3,0
20737,https://econpapers.repec.org/paper/nbrnberwo/20737.htm,,Related journal article link not found,2,1,1,0
20738,https://econpapers.repec.org/paper/nbrnberwo/20738.htm,https://econpapers.repec.org/bookchap/nbrnberch/13472.htm,Journal abstract not found,4,2,2,0
20739,https://econpapers.repec.org/paper/nbrnberwo/20739.htm,https://econpapers.repec.org/article/oupecpoli/v_3a30_3ay_3a2015_3ai_3a84_3ap_3a589-641..htm,0.40668296658516706,2,0,2,0
20740,https://econpapers.repec.org/paper/nbrnberwo/20740.htm,https://econpapers.repec.org/article/eeejoecag/v_3a6_3ay_3a2015_3ai_3ac_3ap_3a133-148.htm,0.9947058823529412,2,0,2,0
20741,https://econpapers.repec.org/paper/nbrnberwo/20741.htm,https://econpapers.repec.org/article/wlyemetrp/v_3a83_3ay_3a2015_3ai_3a5_3ap_3a1963-1999.htm,0.413557391056679,2,0,2,0
20742,https://econpapers.repec.org/paper/nbrnberwo/20742.htm,https://econpapers.repec.org/article/aeajecper/v_3a29_3ay_3a2015_3ai_3a1_3ap_3a29-46.htm,0.9978181818181818,1,0,1,0
20743,https://econpapers.repec.org/paper/nbrnberwo/20743.htm,https://econpapers.repec.org/article/ucpjpolec/doi_3a10.1086_2f684511.htm,0.16748285994123407,4,0,4,0
20744,https://econpapers.repec.org/paper/nbrnberwo/20744.htm,https://econpapers.repec.org/article/blajfinan/v_3a74_3ay_3a2019_3ai_3a4_3ap_3a1753-1792.htm,0.9992082343626286,3,1,2,0
20745,https://econpapers.repec.org/paper/nbrnberwo/20745.htm,https://econpapers.repec.org/article/aeaaecrev/v_3a108_3ay_3a2018_3ai_3a9_3ap_3a2513-50.htm,1.0,1,0,1,0
20746,https://econpapers.repec.org/paper/nbrnberwo/20746.htm,https://econpapers.repec.org/article/thepublsh/4796.htm,0.020130850528434826,3,0,3,0
20747,https://econpapers.repec.org/paper/nbrnberwo/20747.htm,,Related journal article link not found,1,0,1,0
20748,https://econpapers.repec.org/paper/nbrnberwo/20748.htm,https://econpapers.repec.org/article/wlysoecon/v_3a85_3ay_3a2018_3ai_3a1_3ap_3a93-120.htm,0.1678556441460344,2,1,1,0
20749,https://econpapers.repec.org/paper/nbrnberwo/20749.htm,,Related journal article link not found,5,0,5,0
20750,https://econpapers.repec.org/paper/nbrnberwo/20750.htm,,Related journal article link not found,2,0,2,0
20751,https://econpapers.repec.org/paper/nbrnberwo/20751.htm,,Related journal article link not found,3,0,3,0
20752,https://econpapers.repec.org/paper/nbrnberwo/20752.htm,,Related journal article link not found,2,0,2,0
20753,https://econpapers.repec.org/paper/nbrnberwo/20753.htm,,Related journal article link not found,2,1,1,0
20754,https://econpapers.repec.org/paper/nbrnberwo/20754.htm,,Related journal article link not found,3,1,2,0
20755,https://econpapers.repec.org/paper/nbrnberwo/20755.htm,https://econpapers.repec.org/article/palimfecr/v_3a63_3ay_3a2015_3ai_3a2_3ap_3a353-372.htm,0.7014446227929374,3,0,3,0
20756,https://econpapers.repec.org/paper/nbrnberwo/20756.htm,,Related journal article link not found,2,0,2,0
20757,https://econpapers.repec.org/paper/nbrnberwo/20757.htm,,Related journal article link not found,4,0,4,0
20758,https://econpapers.repec.org/paper/nbrnberwo/20758.htm,,Related journal article link not found,3,1,2,0
20759,https://econpapers.repec.org/paper/nbrnberwo/20759.htm,,Related journal article link not found,3,0,3,0
20760,https://econpapers.repec.org/paper/nbrnberwo/20760.htm,https://econpapers.repec.org/article/ouprfinst/v_3a29_3ay_3a2016_3ai_3a7_3ap_3a1911-1942..htm,0.10673234811165845,3,1,2,0
20761,https://econpapers.repec.org/paper/nbrnberwo/20761.htm,https://econpapers.repec.org/article/tprrestat/v_3a99_3ay_3a2017_3ai_3a5_3ap_3a769-775.htm,0.4501541623843782,2,0,2,0
20762,https://econpapers.repec.org/paper/nbrnberwo/20762.htm,,Related journal article link not found,3,0,3,0
20763,https://econpapers.repec.org/paper/nbrnberwo/20763.htm,,Related journal article link not found,3,0,3,0
20764,https://econpapers.repec.org/paper/nbrnberwo/20764.htm,,Related journal article link not found,3,0,3,0
20765,https://econpapers.repec.org/paper/nbrnberwo/20765.htm,,Related journal article link not found,2,0,2,0
